Family,Species (Latin Name),Inuvialuktun Name(s),English Name,French Name
Cyperaceae,Carex marina Dewey,,sea sedge,carex marin
Cyperaceae,Carex maritima Gunnerus,,seaside sedge,carex maritime
Cyperaceae,Carex membranacea Hook.,,fragile sedge,carex membraneux
Cyperaceae,Carex myosuroides Vill.,,mouse-tail bog sedge,carex queue-de-souris
Cyperaceae,Carex rariflora (Wahlenb.) Sm.,,loose-flowered alpine sedge,carex rariflore
Cyperaceae,Carex rupestris All.,iviraq (pl. iviraraluit) (I),rock sedge,carex des rochers
Cyperaceae,Carex saxatilis L.,,russet sedge,carex saxatile
Cyperaceae,Carex scirpoidea Michx. subsp. scirpoidea,,single-spike sedge,carex faux-scirpe
Cyperaceae,Carex subspathacea Wormskj.,,Hoppner's sedge,carex subspathacé
Cyperaceae,Carex ursina Dewey,,bear sedge,carex des ours
Cyperaceae,Eriophorum angustifolium Honck.,,narrow-leaved cottongrass,linaigrette à feuilles étroites
Cyperaceae,Eriophorum scheuchzeri subsp. arcticum M.S. Novos.,,Scheuchzer's arctic cottongrass,linaigrette arctique
Equisetaceae,Equisetum arvense L.,,field horsetail,prêle des champs
Equisetaceae,Equisetum scirpoides Michx.,,variegated scouring-rush,prêle panachée
Equisetaceae,Equisetum variegatum Schleich. ex Weber & Mohr subsp. variegatum,,variegated scouring-rush,prêle panachée
Ericaceae,Cassiope tetragona (L.) D.Don. subsp. tetragona,ikhuun; ikkutit (I); palrauyat(S); pilraiyat (S); pilrauyat (S),four-angled mountain heather,cassiope tétragone
Ericaceae,Pyrola grandiflora Radius,"aqpingnat, ukalrit niqait (U)",arctic pyrola,pyrole à grandes fleurs
Ericaceae,"Vaccinium vitis-idaea subsp. minus (Lodd., G.Lodd. & W.Lodd.) Hultén","kingmingnaq (I); kimminat (S); kimmingnaq (pl. kimmingnat) (S, U)",mountain cranberry,airelle rouge
Fabaceae,Astragalus alpinus L.,,alpine milk-vetch,astragale alpin
Fabaceae,Hedysarum americanum (Michx.) Britton,"mahu (I); masu (S, U)","alpine sweet-vetch, licorice root",sainfoin alpin
Fabaceae,Oxytropis arctica R. Br. subsp. arctica,,arctic locoweed,oxytrope arctique
Fabaceae,Oxytropis borealis DC. var. borealis ,,boreal locoweed,oxytrope boréal
Fabaceae,Oxytropis maydelliana Trautv.,,Maydell's locoweed,oxytrope de Maydell
Fabaceae,Oxytropis varians (Rydb.) K. Schum.,airaq (I),late yellow locoweed,oxytrope à sépales appendiculés
Gentianaceae,Gentianella propinqua (Richardson) J.M. Gillett subsp. propinqua,,four-parted gentian,gentiane fausse-amarelle
Gentianaceae,Lomatogonium rotatum (L.) Fr. ex Fernald var. rotatum,,marsh felwort,lomatogone rotacé
Juncaceae,Juncus biglumis L.,,two-glumed rush,jonc à deux glumes
Juncaceae,Luzula confusa Lindeb.,,northern woodrush,luzule trompeuse
Juncaceae,Luzula kjellmaniana Miyabe & Kudô,,Kjellman's woodrush,luzule de Kjellman
Juncaceae,Luzula nivalis (Laest.) Spreng.,,arctic woodrush,luzule arctique
Montiaceae,Montia fontana L.,,water blinks,montie des sources
Onagraceae,Epilobium arcticum Sam.,,arctic willowherb,épilobe arctique
Orobanchaceae,Castilleja elegans Ostenf.,,elegant paintbrush,castilléjie élégante
Orobanchaceae,Castilleja hyperborea Pennell,,northern paintbrush,castilléjie hyperboréale
Orobanchaceae,Pedicularis arctoeuropaea (Hultén) Molau & D. F. Murray,haqalikitauyat (I); igullait nakait (I); igullait niqautait; igullait niqautingit (I),circumpolar lousewort,pédiculaire d’Europe arctique
Orobanchaceae,Pedicularis capitata Adams,algauyat (I); aqiaruyaq (I),capitate lousewort,pédiculaire capitée
Orobanchaceae,Pedicularis lanata Cham. and Schlect.,iguttait nakait (I); iguttait niqautait (I),woolly lousewort,pédiculaire laineuse
Orobanchaceae,Pedicularis langsdorffii subsp. arctica (R. Br.) Pennell,iguttait niqautait (I); iguttait nakait (I),arctic lousewort,pédiculaire arctique
Papaveraceae,Papaver hultenii Knaben,qipliqiat(I),Hulten's poppy,pavot de Hulten
Papaveraceae,Papaver lapponicum (Tolm.) Nordh.,qipliqiat(I),Lapland poppy,pavot de Laponie
Papaveraceae,Papaver radicatum Rottb.,qipliqiat(I),Icelandic-Scandinavian poppy,pavot arctique
Plantaginaceae,Hippuris lanceolata Retz.,,common mare's-tail,hippuride vulgaire
Plantaginaceae,Hippuris vulgaris L.,,common mare's-tail,hippuride vulgaire
Plumbaginaceae,Armeria maritima subsp. sibirica (Turcz. ex Boiss.) Nyman,miluuyaq(I),sea thrift,arméria de Sibérie
Poaceae,Alopecurus borealis Trin.,,alpine foxtail,vulpin boréal
Poaceae,Anthoxanthum arcticum Veldkamp,,few-flowered arctic holy grass,
Poaceae,Arctagrostis latifolia (R.Br.) Griseb. subsp. latifolia,,polargrass,arctagrostide à larges feuilles
Poaceae,Arctophila fulva (Trin.) Andersson,,pendantgrass,arctophile fauve
Poaceae,Bromus pumpellianus Scribn.,,Pumpelly's brome,brome de Pumpelly
Poaceae,Calamagrostis purpurascens R.Br. subsp. purpurascens,,purple reedgrass,calamagrostide pourpre
Poaceae,Calamagrostis stricta subsp. groenlandica (Schrank) Á. Löve,,slim-stemmed reedgrass,calamagrostide raide
